Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"New model for determining criteria weights: Level Based Weight Assessment (LBWA) model","The LBWA model provides a simple, efficient, and consistent method for determining weight coefficients in multi-criteria decision-making models, enhancing decision-making support systems and alternative dispute resolutions.","M. Žižović, D. Pamucar",2019,261,": This paper presents new subjective model for determining weight coefficients in multi-criteria decision-making models. The new Level Based Weight Assessment (LBWA) model enables the involvement of experts from different fields with the purpose of defining the relations between criteria and providing rational decision making. The method can be applied in practical cases in specialized decision-making support systems, as well as in alternative dispute resolutions in virtual environment. The LBWA model has several key advantages over other subjective models based on mutual comparison of criteria, which include the following: (1) the LBWA model allows the calculation of weight coefficients with small number of criteria comparisons, only n-1 comparison; (2) The algorithm of the LBWA model does not become more complex with the increase of the number of criteria, which makes it suitable for use in complex multi-criteria (MCDM) models with a large number of criteria; (3) By applying the LBWA model, optimal values of weight coefficients are obtained with simple mathematical apparatus that eliminates inconsistencies in expert preferences, which are tolerated in certain subjective models (Best Worst Method - BWM and Analytic Hierarchy Process - AHP); (4) The elasticity coefficient of the LBWA model enables, after comparing the criteria, additional corrections of the values of the weight coefficients depending on the preferences of the decision makers. This feature of the LBWA model enables sensitivity analysis of the MCDM model by analyzing the effects of variations in the values of the weights of criteria on final decision.","theoretical, modeling, or simulation study","Decision Making: Applications in Management and Engineering","1","10.31181/dmame1902102z","https://consensus.app/papers/new-model-for-determining-criteria-weights-level-based-iovi-pamucar/9561792c142c5c1e91b244fe91029b0f/"
"Reimagining multi-criterion decision making by data-driven methods based on machine learning: A literature review","Machine learning technologies can enhance multi-criteria decision making in various fields by utilizing massive data and weak data correlation.","Huchang Liao, Yangpeipei He, Xueyao Wu, Zheng Wu, R. Baušys",2023,78,"","literature review","Inf. Fusion","1","10.1016/j.inffus.2023.101970","https://consensus.app/papers/reimagining-multicriterion-decision-making-by-liao-he/f30ba8fb5d655f87af3c5c440bc46a48/"
"Statistical and analytical comparison of multi-criteria decision-making techniques under fuzzy environment","SAW and TOPSIS are statistically similar, while ELECTRE and VIKOR are unfavorable for providing full, sorted ranks, and no ranking method is significantly sensitive to uncertainty changes.","Hamed Zamani-Sabzi, J. P. King, C. Gard, S. Abudu",2016,112,"","theoretical, modeling, or simulation study","Operations Research Perspectives","1","10.1016/j.orp.2016.11.001","https://consensus.app/papers/statistical-and-analytical-comparison-of-multicriteria-zamani-sabzi-king/8d98a8b35158556e9533d076628ab14e/"
"A historical review and analysis on MOORA and its fuzzy extensions for different applications","MOORA is a popular multi-criteria decision-making method, predominantly used with TOPSIS, AHP, and COPRAS methods, and has been extended to fuzzy environments.","Ramanpreet Singh, V. Pathak, Rakesh Kumar, Mithilesh K. Dikshit, Amit Aherwar, Vedant Singh, Tej Singh",2024,65,"","systematic review","Heliyon","1","10.1016/j.heliyon.2024.e25453","https://consensus.app/papers/a-historical-review-and-analysis-on-moora-and-its-fuzzy-singh-pathak/36fc6aec611750fa9a0753c4b131419d/"
"Ensemble of feature selection algorithms: a multi-criteria decision-making approach","Our EFS-MCDM approach, using the VIKOR method, outperforms other methods in accuracy, F-score, and algorithm run-time, providing a more efficient and accurate ensemble feature selection process.","Amin Hashemi, M. Dowlatshahi, H. Nezamabadi-pour",2021,94,"For the first time, the ensemble feature selection is modeled as a Multi-Criteria Decision-Making (MCDM) process in this paper. For this purpose, we used the VIKOR method as a famous MCDM algorithm to rank the features based on the evaluation of several feature selection methods as different decision-making criteria. Our proposed method, EFS-MCDM, first obtains a decision matrix using the ranks of every feature according to various rankers. The VIKOR approach is then used to assign a score to each feature based on the decision matrix. Finally, a rank vector for the features generates as an output in which the user can select a desired number of features. We have compared our approach with some ensemble feature selection methods using feature ranking strategy and basic feature selection algorithms to illustrate the proposed method's optimality and efficiency. The results show that our approach in terms of accuracy, F-score, and algorithm run-time is superior to other similar methods and performs in a short time, and it is more efficient than the other methods.","","International Journal of Machine Learning and Cybernetics","1","10.1007/s13042-021-01347-z","https://consensus.app/papers/ensemble-of-feature-selection-algorithms-a-multicriteria-hashemi-dowlatshahi/9a54fe3f13365d448001becbea246b43/"
"A hybrid MCDM model encompassing AHP and COPRAS-G methods for selecting company supplier in Iran","The hybrid MCDM model, incorporating AHP and COPRAS-G methods, effectively selects suppliers based on cost, quality, distance, delivery reliability, reputation, technology level, compatibility, and development ability in Iran.","S. Zolfani, I. Chen, Nahid Rezaeiniya, J. Tamošaitienė",2012,98,"Abstract This paper is aimed at utilizing a hybrid multi-criteria decision making (MCDM) model for selecting a supplier. First, eight evaluation criteria, including cost, quality, distance, delivery reliability, reputation, technology level, compatibility and development ability are identified. The A nalytic H ierarchical P rocess (AHP) is initially used for calculating the weight of each criterion. The CO mplex PR oportional AS sessment of alternatives to G rey relations (COPRAS-G method) is adopted for ranking and selecting suppliers. In order to illustrate the functional ability of the developed model, Kalleh Company is chosen as a case study and can be used as a pattern for supplier selection and future researches.","theoretical, modeling, or simulation study","Technological and Economic Development of Economy","1","10.3846/20294913.2012.709472","https://consensus.app/papers/a-hybrid-mcdm-model-encompassing-ahp-and-coprasg-methods-zolfani-chen/e2a072f15b6a550ca46b9c92241a7405/"
"A Novel Multi-Criteria Decision-Making Model for Building Material Supplier Selection Based on Entropy-AHP Weighted TOPSIS","The combination of TOPSIS with entropy-AHP weights effectively selects the appropriate building material supplier, improving multi-criteria decision-making in supply chain management.","Chun-Ho Chen",2020,312,"The type of criterion weight can be distinguished according to different decision methods. Subjective weights are given by decision makers based on their knowledge, experience, expertise, and other factors. Objective weights are obtained through multi-step calculations of the evaluation matrix constructed from the actual information about the evaluation criteria of the alternatives. A single consideration of these two types of weights often results in biased results. In addition, in order to build an effective supply chain source, buyers must find suitable quality products and/or service providers in the process of supplier selection. Based on the above reasons, it is difficult to accurately select the appropriate alternative. The main contribution of this paper is to combine entropy weight, analytic hierarchy process (AHP) weight, and the technique for order preference by similarity to an ideal solution (TOPSIS) method into a suitable multi-criteria decision making (MCDM) solution. The TOPSIS method is extended with entropy-AHP weights, and entropy-AHP weights are used instead of subjective weights. A novel decision-making model of TOPSIS integrated entropy-AHP weights is proposed to select the appropriate supplier. Finally, we take the selection of building material suppliers as an example and use sensitivity analysis to show that the combination of the TOPSIS method based on entropy-AHP weights can effectively select the appropriate supplier.","theoretical, modeling, or simulation study","Entropy","2","10.3390/e22020259","https://consensus.app/papers/a-novel-multicriteria-decisionmaking-model-for-building-chen/007db5ad8e015d58b648c6a92b3b9a65/"
"A Hybrid MCDM Model for Live-Streamer Selection via the Fuzzy Delphi Method, AHP, and TOPSIS","The hybrid MCDM model using the fuzzy Delphi method, analytic hierarchy process, and TOPSIS effectively aids in selecting live-streamers for e-commerce websites.","You Rang Lim, A. Ariffin, Mazlan Ali, Kuei-Lun Chang",2021,22,"The development of the Internet is a key revolution of the 20th century. The Internet has led to a boom in e-commerce. Online shopping is generally the most popular shopping option for consumers. The coronavirus disease 2019 (COVID-19) pandemic has resulted in adopting various measures, such as lockdown and stay-at-home orders, in various countries. This has led to changes in people’s consumption habits. In Taiwan, consumer behavior has also rapidly shifted to online shopping after the outbreak of the COVID-19. As livestreaming breaks time and space barriers, its real-time, interactive, and authentic features are unparalleled compared to other marketing methods, thereby creating a brand-new shopping experience for consumers. Accordingly, livestream shopping, a new consumption model, has developed and become an essential part of people’s daily lives. Live-streamers, who are similar to salespersons in traditional markets, play a vital role in e-commerce livestreaming. The success of livestream shopping has highlighted the importance of live-streamers. The competition among live-streamers has become more intense because of the arrival of many newcomers. Thus, operators must make careful hiring decisions. However, no related literature in the past has investigated this important topic. Therefore, this study applied a hybrid multi-criteria decision-making (MCDM) model comprising the fuzzy Delphi method (screen the selection criteria), analytic hierarchy process (AHP) (obtain the weight of each dimension and criterion), and technique for order preference by similarity to ideal solution (TOPSIS) (rank the alternatives) to assist the managers of shopping websites in selecting live-streamers. We interviewed the managers of shopping websites and reviewed the related literature to compile the selection criteria. Following the fuzzy Delphi method, 15 important selection criteria were retained based on the 30 managers’ opinions. Further, the criteria were classified into dimensions based on the previous literature and interviews conducted on managers to establish a hierarchical framework. On the basis of this hierarchical framework, AHP and TOPSIS were applied to help a case company select live-streamers. A comparative analysis between the outcomes from AHP and AHP/TOPSIS was also conducted in this study. This study is the first empirical study on live-streamers’ selection and adds to the literature on livestreaming.","other","Applied Sciences","2","10.3390/app11199322","https://consensus.app/papers/a-hybrid-mcdm-model-for-livestreamer-selection-via-the-lim-ariffin/9f77fd99c8385848a48181d25de7cb4d/"
"MCDM and various prioritization methods in AHP for CSS: A comprehensive review","Multi-criteria decision-making (MCDM) techniques are the best method for selecting cloud service providers, with various prioritization methods in AHP being discussed for better decision-making.","J. Gyani, Ahsan Ahmed, M. A. Haq",2022,70,"Availability and diversity of cloud service providers (CSPs) had put the users into confusion for its selection of the appropriate service providers. Some cloud service providers are good at some services while others are good at offering other services. The selection of an appropriate cloud service is one of the multi-criteria decision analysis (MCDA) problems that became a critical issue of public concern in the uncertain cloud industry. Based on multiple criteria, various multi-criteria decision-making (MCDM) methods can be used for the selection of the best CSPs. Researchers considered MCDM techniques as the best methodology for deciding cloud rank. The paper presents a set of decision criteria and their sub-criteria required for evaluating CSPs. The main goal of this paper is to present a review of various MCDM methods for decision-making. Furthermore, the strengths and weaknesses of various MDCM techniques are discussed to help the researchers about the current trends in the field of decision making. An overview of MCDM techniques used for Cloud service selection (CSS) is presented. Several methods used for deriving priority vectors from a Pairwise Consistency Matrix (PCM) in Analytic Hierarchy Process (AHP) technique, used in recent years are discussed in this research paper.","literature review","IEEE Access","1","10.1109/access.2022.3161742","https://consensus.app/papers/mcdm-and-various-prioritization-methods-in-ahp-for-css-a-gyani-ahmed/35e15eab81835bd28f13fabf8f2918bc/"
"A Bipolar Neutrosophic Multi Criteria Decision Making Framework for Professional Selection","The proposed hybrid neutrosophic multi criteria decision making framework effectively selects appropriate candidates for professional positions, addressing challenges in large-scale candidate and criteria data.","Mohamed Abdel-Basset, Abduallah Gamal, Le Hoang Son, F. Smarandache",2020,133,"Professional selection is a significant task for any organization that aims to select the most appropriate candidates to fill well-defined vacancies up. In the recruitment process, various individual characteristics are involved, such as leadership, analytical skills, independent thinking, innovation, stamina and personality, ambiguity and imprecision. It outlines staff contribution and therefore plays a significant part in human resources administration. Additionally, in the era of the Internet of Things and Big Data (IoTBD), professional selection would face several challenges not only to the safe selection and security but also to make wise and prompt decisions especially in the large-scale candidates and criteria from the Cloud. However, the process of professional selection is often led by experience, which contains vague, ambiguous and uncertain decisions. It is therefore necessary to design an efficient decision-making algorithm, which could be further escalated to IoTBD. In this paper, we propose a new hybrid neutrosophic multi criteria decision making (MCDM) framework that employs a collection of neutrosophic analytical network process (ANP), and order preference by similarity to ideal solution (TOPSIS) under bipolar neutrosophic numbers. The MCDM framework is applied for chief executive officer (CEO) selection in a case study at the Elsewedy Electric Group, Egypt. The proposed approach allows us to assemble individual evaluations of the decision makers and therefore perform accurate personnel selection. The outcomes of the proposed method are compared with those of the related works such as weight sum model (WSM), weight product model (WPM), analytical hierarchy process (AHP), multi-objective optimization based on simple ratio analysis (MOORA) and ANP methods to prove and validate the results.","theoretical, modeling, or simulation study","Applied Sciences","2","10.3390/app10041202","https://consensus.app/papers/a-bipolar-neutrosophic-multi-criteria-decision-making-abdel-basset-gamal/1786750d83ad53d3bf088020f1b575aa/"
"A Multicriteria Decision-Making Framework for Access Point Selection in Hybrid LiFi/WiFi Networks Using Integrated AHP–VIKOR Technique","The integrated AHP-VIKOR approach effectively selects optimal access points in hybrid LiFi/WiFi networks, improving performance and quality-of-service.","Rozin Badeel, S. Shamala, A. Muhammed, Z. Hanapi",2023,26,"Since light fidelity (LiFi) and wireless fidelity (WiFi) do not interfere with one another, a LiFi/WiFi hybrid network may provide superior performance to existing wireless options. With many users and constant changes, a network can easily become overloaded, leading to slowdowns and fluctuations in data transfer speeds. Access point assignment (APA) is required with the increase of users, which can negatively impact the system performance and quality-of-service (QoS) due to mobility and line-of-sight (LOS) blockage. Many variables could influence the APA process; these variables are considered as criteria, such as the network capacity, the degree of blockage, the speed of the connected user, etc. Unlike conditional APA methods, recent studies have considered treating these variables as ""evaluation criteria"". Considering these criteria can offer better and more accurate results, eventually enhancing the APA process and QoS. However, the variety of these criteria, the conflict amongst them, their weights (importance), and priority have not been addressed so far. Moreover, treating the criteria equally might result in inaccurate outcomes. Therefore, to solve this issue, it is essential to investigate the impact of each criterion on the APA process. In this work, a multicriteria decision-making (MCDM) problem is formulated to determine a network-level selection for each user over a period of time The decision problem is modeled as a hierarchy that fragments a problem into a hierarchy of simple and small subproblems, and the selection of the AP network among various alternatives is a considered as an MCDM problem. Based on the previous works, we are not aware of any previous research attempts using MCDM methods in the LiFi research area for network selection. Therefore, this work proposes an access point assignment framework using an MCDM approach for users in a hybrid LiFi/WiFi network. The experiment was conducted based on four phases: Five criteria were identified and evaluated with eleven APs (alternatives). The outcome of this phase was used to build the decision matrix and an MCDM was developed and built based on user mobility and blockages with various scenarios using all the criteria; The analytic hierarchy process (AHP) was employed to identify the criterion of the subjective weights of each criterion and to determine the degree of importance supported by experts' judgement. Determining the weights in the AHP process considered various investigations, including the consistency ratio (CR) and the AHP consensus indicator, which is calculated using the rank-based maximum likelihood method (RGMM) and Shannon entropy techniques. The VIekriteri-Jumsko KOmpromisno Rangiranje (VIKOR) method is adopted in the selection of the optimal AP for the proper selection of whether a LiFi or WiFi AP must serve the users. The integrated AHP-VIKOR was effective for solving the APA and was the best solution based on using weighted criteria simultaneously. Moreover, the ranking outcomes of the developed integrated AHP-VIKOR approach were evaluated using sensitivity analysis. The result of this work takes the APA for hybrid LiFi networks to a new perspective.","","Sensors (Basel, Switzerland)","1","10.3390/s23031312","https://consensus.app/papers/a-multicriteria-decisionmaking-framework-for-access-badeel-shamala/7bb5e4415e9f52e8b3c29221459cffe3/"
"Purchasing in the digital age: A meta-analytical perspective on trust, risk, security, and e-WOM in e-commerce","Trust, perceived risk, security, and e-WOM significantly influence consumers' e-commerce purchasing decisions, with risk management being crucial for fostering trust.","Sofik Handoyo",2024,124,"","meta-analysis","Heliyon","1","10.1016/j.heliyon.2024.e29714","https://consensus.app/papers/purchasing-in-the-digital-age-a-metaanalytical-handoyo/11b0181c37c352c1bc34d40ce642c21f/"
"A Review of Green Supplier Evaluation and Selection Issues Using MCDM, MP and AI Models","The most widely used Decision-Making models for evaluating and selecting green suppliers are AHP, DEA, and TOPSIS.","Imane Tronnebati, Manal El Yadari, F. Jawab",2022,35,"For any industry to improve and expand, the proper evaluation and selection of suppliers is essential. In order to establish whether a supplier is appropriate for working with a company, a system for selecting green suppliers is required. A variety of Decision-Making (DM) models have been created by researchers to address the problems associated with evaluating and choosing green suppliers. In order to address the Green Supplier Evaluation and Selection (GSES) challenge, we did a thorough investigation of ten works of literature, in order to find out which approach is the most widely used and which is more efficient. This study primarily focuses on the findings of ten reviews that examined 1098 research publications from academic journals between 1990 and 2020. 271 DM models examined that were broken down into 170 individual models and 101 combination models, our analysis only looked at the single models. The method of Analytic Hierarchy Process (AHP) is the dominant model used by 160 articles, 122 studies used Data Envelopment Analysis (DEA), and finally 101 research works that utilized the Technique for Order Performance by Similarity to Ideal Solution (TOPSIS) model. In addition, we found that the biggest percentage “62%” of studied articles used multi-criteria decision-making (MCDM) models. As a result, the most widely utilized Decision Making models to address the evaluation and selection of green supplier were found to be AHP, DEA, and TOPSIS.","literature review","Sustainability","1","10.3390/su142416714","https://consensus.app/papers/a-review-of-green-supplier-evaluation-and-selection-issues-tronnebati-yadari/d8738bebf8545425ac14a6416ee34763/"
"Are MCDM methods useful? A critical review of Analytic Hierarchy Process (AHP) and Analytic Network Process (ANP)","MCDM methods, such as the Analytic Hierarchy Process, may not provide accurate rankings and may lead to intuitive decisions being made by managers.","Mehdi Rajabi Asadabadi, Elizabeth Chang, Morteza Saberi",2019,218,"Abstract Although Multi Criteria Decision Making (MCDM) methods have been applied in numerous case studies, many companies still avoid employing these methods in making their decisions and prefer to decide intuitively. There are studies claiming that MCDM methods provide better rankings for companies than intuitive approaches. This study argues that this claim may have low validity from a company’s perspective. For this purpose, it focuses on one of the MCDM methods referred to as the Analytic Hierarchy Process (AHP) and shows that AHP is very likely to provide a ranking of options that would not be acceptable by a rational person. The main reason that many companies do not rely on current MCDM methods can be due to the fact that managers intuitively notice ranking errors. Future studies should end the promotion of outdated approaches, pay closer attention to the deficiencies of the current MCDM processes, and develop more useful methods.","literature review","Cogent Engineering","2","10.1080/23311916.2019.1623153","https://consensus.app/papers/are-mcdm-methods-useful-a-critical-review-of-analytic-asadabadi-chang/9398f8a17ddc5201a45b2dec35855013/"
"Overview of Existing Multi-Criteria Decision-Making (MCDM) Methods Used in Industrial Environments","Multi-criteria decision-making methods can optimize manufacturing processes, but each has its strengths and limitations, guiding researchers and practitioners in selecting appropriate tools for specific industrial contexts and objectives.","Tanya Avramova, Teodora Peneva, Aleksandar Ivanov",2025,27,"The selection of an appropriate technological process is essential to achieve optimal results in manufacturing companies. This affects quality, efficiency and competitiveness. In the modern industry, multi-criteria decision-making (MCDM) methods are increasingly used to evaluate, optimize and solve various manufacturing challenges. In this review article, existing methodologies and patents related to optimization and decision making are investigated. The main characteristics and applications of the methods are outlined. The purpose of this article is to provide a systematic review and evaluation of the main MCDM methods used in industrial practice, including through an analysis of relevant methodologies and patents. The methodology involves a structured literature and patent review, focusing on applications of widely used MCDM techniques such as the AHP (analytic hierarchy process), ANP (analytic network process), FUCOM (full consistency method), TOPSIS (technique for order preference by similarity to ideal solution), and VIKOR (višekriterijumsko kompromisno rangiranje). The analysis outlines each method’s strengths, limitations and areas of applicability. Special attention is given to the potential of the FUCOM for process evaluation in manufacturing. The findings are intended to guide researchers and practitioners in selecting appropriate decision-making tools based on specific industrial contexts and objectives. In conclusion, from the comparative analysis made, the methodologies reveal their advantages and disadvantages as well as limitations that arise in their application.","systematic review","Technologies","1","10.3390/technologies13100444","https://consensus.app/papers/overview-of-existing-multicriteria-decisionmaking-mcdm-avramova-peneva/b2d6dfe05de853da98eaa5bdcf9b5234/"
"Base-criterion on multi-criteria decision-making method and its applications","The Base-criterion method (BCM) is a more consistent and accurate multi-criteria decision-making method than AHP and BWM methods, requiring fewer comparison data and enabling the calculation of missing pairwise comparisons.","Gholamreza Haseli, Reza Sheikh, S. Sana",2019,91,"ABSTRACT In this paper, Base-criterion method (BCM) is proposed to solve multi-criteria decision-making problems. According to BCM, instead of executing a pairwise comparisons between all criteria or executing a pairwise comparisons between each of the best and worst criteria to other criteria, one of the criteria is chosen by the decision-maker as a base-criterion (e.g. preferential, selective) and then pairwise comparisons between base-criterion and other criteria are obtained. Then, a max-min problem is formulated and solved to determine the weight of the criteria. In this way, the pairwise comparisons to obtain weights of the criteria are fully consistent. In other ability of BCM, we find the lost pairwise comparisons by using the BCM framework so that the pairwise comparisons matrix remains consistent. To illustrate the reliability of the proposed method and evaluate its performance to determine the weights, we have used two numerical examples. The outcomes of numerical examples indicate that the BCM has high accuracy and better consistency ratio than the other multi-criteria decision-making(MCDM) methods. The cause of high consistency ratio in the BCM is the dependency of pairwise comparisons between criteria. Moreover, we have used two other numerical examples to illustrate the function of the BCM in order to find out the missing comparisons in incomplete pairwise comparison matrix. We have shown the BCM framework able to find lost comparisons in the worst terms of the incomplete pairwise comparison matrix. The outcomes of the proposed article show that BCM performance is significantly better than AHP and BWM methods with respect to the consistency ratio, and it requires fewer comparison data and has the ability to calculate missing pairwise comparisons.","theoretical, modeling, or simulation study","International Journal of Management Science and Engineering Management","1","10.1080/17509653.2019.1633964","https://consensus.app/papers/basecriterion-on-multicriteria-decisionmaking-method-haseli-sheikh/f41faa9c047f546ebf0184142625be33/"
"Multi-Criteria Decision Making (MCDM) Model for Supplier Evaluation and Selection for Oil Production Projects in Vietnam","The MCDM model effectively evaluates and selects optimal suppliers in the oil industry, identifying DMU_01, DMU_04, and DMU_10 as the best suppliers.","Chia-Nan Wang, H. Tsai, T. Ho, V. Nguyen, Ying-Fang Huang",2020,68,"The following research utilizes Multi-Criteria Decision Making (MCDM) in order to build a business strategy to reduce product costs, improve competitiveness, focus on production planning based on actual operating capacity and flexible adjustment according to the market, maximize the labor productivity of technology workshops, reduce costs and inventory, and focus on producing many petrochemical products and products of high economic value. Selecting the right materials supplier is of paramount importance to the success of the organization as a whole. Supplier evaluation and the selection of a suitable supplier is a complex problem in which the decision maker must consider both qualitative and quantitative factors. Multi-Criteria Decision Making Models are an effective tool used to solve complex selection issues including multiple criteria and options, especially for qualitative variables. Thus, the author proposes an MCDM model including the Supply Chain Operation Reference (SCOR) model, analytic hierarchy process (AHP) and the Data Envelopment Analysis (DEA) method to evaluate and select the optimal supplier in the oil industry. The criteria used to evaluate potential suppliers are determined through the SCOR model, the weight of all criteria are defined by the AHP model through an expert’s opinion, and DEA is used to rank providers at the final stage. After the model implementation and the results, decision-making unit DMU_01, DMU_04 and DMU_10 are shown to be the best suppliers. This research provides a Multi-Criteria Decision Making model for supplier evaluation and selection in oil production projects. This research also presents useful guidelines for supplier selection processes in other industries.","theoretical, modeling, or simulation study","Processes","2","10.3390/pr8020134","https://consensus.app/papers/multicriteria-decision-making-mcdm-model-for-supplier-wang-tsai/be2b16e8bcdb5485b0f279ec1c26c003/"
"An MCDM Approach for Cloud Computing Service Selection Based on Best-Only Method","The best-only method (BOM) is a more efficient and reliable method for selecting cloud service providers compared to the analytical hierarchical process (AHP) and best-worst method (BWM).","Ahmed M. Mostafa",2021,23,"Owing to the significant and continuous development of cloud computing technology and the increasing number of cloud service providers (CSPs) that have emerged, CSP selection has become a challenging decision for many organizations. To accurately evaluate the services provided by various CSPs, many independent criteria must be considered, resulting in a multi-criteria decision-making (MCDM) problem. In MCDM problems, several alternatives are assessed against several criteria to identify the optimal alternative (s). The challenges stem from complex computation as well as less consistency, resulting in less reliable results. In this paper, a new method, called the best-only method (BOM), is proposed for solving the CSP selection problem, which is viable, efficient, and fully consistent. The proposed method was evaluated and validated using a use-case scenario, demonstrating its efficiency and appropriateness. The proposed method is compared with two popular MCDM methods, analytical hierarchical process (AHP) and best-worst method (BWM), from three perspectives: efficiency, consistency ratio (CR), and total deviation (TD). Based on the obtained results, AHP and BWM require 75.3% and 46.2% more comparisons, respectively, than the proposed method. The consistency ratios for AHP, BWM, and the proposed method were 37.92%, 13.35%, and 0%, respectively. The total deviations are 21.26, 8.65, and 0 for AHP, BWM, and the proposed method, respectively. These results clearly indicate that the proposed method outperforms AHP and BWM in terms of computing complexity and consistency, making it more efficient and reliable.","","IEEE Access","1","10.1109/access.2021.3129716","https://consensus.app/papers/an-mcdm-approach-for-cloud-computing-service-selection-mostafa/0507b768564d58d088fb0bacfb8c4d42/"
"An extended hybrid fuzzy multi-criteria decision model for sustainable and resilient supplier selection","The hybrid fuzzy multi-criteria decision making model effectively solves sustainable-resilient supplier selection problems, with pollution control, environmental management system, and risk awareness being the most influential criteria in the manufacturing industry.","A. Afrasiabi, M. Tavana, D. Di Caprio",2022,123,"The formalization and solution of supplier selection problems (SSPs) based on sustainable (economic, environmental, and social) indicators have become a fundamental tool to perform a strategic analysis of the whole supply chain process and maximize the competitive advantage of firms. Over the last decade, sustainability issues have been often considered in combination with resilient indexes leading to the study of sustainable-resilient supplier selection problems (SRSSPs). The current research on sustainable development, particularly concerned with the strong impact that the recent COVID-19 pandemic has had on supply chains, has been paying increasing attention to the resilience concept and its role within SSPs. This study proposes a hybrid fuzzy multi-criteria decision making (MCDM) method to solve SRSSPs. The fuzzy best-worst method is used first to determine the importance weights of the selection criteria. A combined grey relational analysis and the technique for order of preference by similarity to ideal solution (TOPSIS) method is used next to evaluate the suppliers in a fuzzy environment. Triangular fuzzy numbers (TFNs) are used to express the weights of criteria and alternatives to account for the ambiguity and uncertainty inherent to subjective evaluations. However, the proposed method can be easily extended to other fuzzy settings depending on the uncertainty facing managers and decision-makers. A real-life application is presented to demonstrate the applicability and efficacy of the proposed model. Sixteen evaluation criteria are identified and classified as economic, environmental, social, or resilient. The results obtained through the case study show that ""pollution control,"" ""environmental management system,"" and ""risk awareness"" are the most influential criteria when studying SRSSPs related to the manufacturing industry. Finally, three different sensitivity analysis methods are applied to validate the robustness of the proposed framework, namely, changing the weights of the criteria, comparing the results with those of other common fuzzy MCDM methods, and changing the components of the principal decision matrix.

© 2021. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","","Environmental Science and Pollution Research International","1","10.1007/s11356-021-17851-2","https://consensus.app/papers/an-extended-hybrid-fuzzy-multicriteria-decision-model-for-afrasiabi-tavana/e31d89b116615a5dbc2b12bc10522307/"
"A New Objective Method for Determining Criteria Weights in MCDM Models – LOGSTA","","Z. Stević, A. Ulutaş, A. Topal, D. Marinkovic, S. Čavoški",2025,9,"","","International Journal of Simulation Modelling","2","10.2507/ijsimm24-4-738","https://consensus.app/papers/a-new-objective-method-for-determining-criteria-weights-in-stevi-uluta/ec0f2eeb7247516a8cd07cf26e749b7c/"
"Supplier selection using combined analytical hierarchy process and grey relational analysis","The combined AHP and GRA model effectively integrates qualitative and quantitative criteria for supplier selection in outsourcing manufacturing organizations, resulting in improved supplier cooperation.","Ching-Chow Yang, Bai Chen",2006,216,"Purpose – The purpose of this paper is to develop an evaluation model considering the qualitative and quantitative criteria for supplier selection in an outsourcing manufacturing organization.Design/methodology/approach – In this paper, the authors propose an integrated model by combining the analytical hierarchy process (AHP) and grey relational analysis (GRA) into a single evaluation model. The model is illustrated with a case study of a notebook computer manufacturer to demonstrate the effectiveness of this integrated model.Findings – Through the proposed model, it is possible to effectively integrate the specialized knowledge and experience of each dispersed evaluator, and the quantitative data to select the best suppliers for cooperation.Originality/value – The decision‐aiding software (AHP‐GRA model) has been implemented in Excel to automate the supplier selection process. This can widely apply the integrated model for the industry.","","Journal of Manufacturing Technology Management","1","10.1108/17410380610688241","https://consensus.app/papers/supplier-selection-using-combined-analytical-hierarchy-yang-chen/21caa9c2a3f1543fa4ecd3ff09ab73ec/"
"An integrated approach to catering supplier selection using AHP-ARAS-MCGP methodology","The AHP-ARAS-MCGP methodology effectively selects catering suppliers for the airline industry by evaluating complex factors and incorporating performance ratings.","Yan‐Kai Fu",2019,103,"","theoretical, modeling, or simulation study","Journal of Air Transport Management","1","10.1016/j.jairtraman.2019.01.011","https://consensus.app/papers/an-integrated-approach-to-catering-supplier-selection-fu/29ae01ae21535d07a19f70ec03fd8882/"
